accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-0263641434788155a,vmnic3,a0:d3:c1:fb:98:07,,,,,,,,ACTIVE,,
049450565398,d-server-07d945d826872586d,,00:50:56:81:1a:b4,,,,,Server,Server,Server,ACTIVE,,
049450565398,d-server-041c675d415ec0912,,00:50:56:9b:11:5a,,,,,Trunk 247,Trunk 247,Trunk 247,ACTIVE,,
049450565398,d-server-0d5b7ab5857e75a18,,00:50:56:81:19:aa,,,,,VLAN 2022,VLAN 2022,VLAN 2022,ACTIVE,,
049450565398,d-server-0d70073de97715254,,00:50:56:81:10:e8,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0f9c6952c0261efe2,vmnic1,94:18:82:e9:c0:78,,,,,,,,ACTIVE,,
049450565398,d-server-0f9c6952c0261efe2,vmnic0,94:18:82:e9:c0:70,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic0,94:18:82:80:2e:1c,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic5,14:02:ec:8c:e7:a9,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic4,14:02:ec:8c:e7:a8,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic3,94:18:82:80:2e:1f,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic2,94:18:82:80:2e:1e,,,,,,,,ACTIVE,,
049450565398,d-server-0e08c7d378ad9e973,vmnic1,94:18:82:80:2e:1d,,,,,,,,ACTIVE,,
049450565398,d-server-04e492880ad0bf07f,vmnic1,e8:39:35:b5:42:e4,,,,,,,,ACTIVE,,
049450565398,d-server-04e492880ad0bf07f,vmnic0,e8:39:35:b5:42:e0,,,,,,,,ACTIVE,,
049450565398,d-server-04e492880ad0bf07f,vmnic2,00:25:b3:b3:3d:c0,,,,,,,,ACTIVE,,
049450565398,d-server-04e492880ad0bf07f,vmnic3,00:25:b3:b3:3d:c1,,,,,,,,ACTIVE,,
049450565398,d-server-04e492880ad0bf07f,vmnic4,00:25:b3:b3:3d:c2,,,,,,,,ACTIVE,,
